review,entities
I love this phone. Amazing camera.,
Battery backup is very poor.,
Excellent display and performance.,
Worst customer service ever.,
Delivery was late but product is good.,
Samsung Galaxy has great features.,Samsung Galaxy (PERSON)
Apple iPhone is expensive.,Apple iPhone (ORG)
The laptop is slow.,
Very happy with the purchase.,
Not worth the money.,
my name is siva i am from india i am buying a new phone.cost 600 dollars. I am very happy with the purchase.,"india (GPE), 600 dollars (MONEY)"
